order_id,customer_id,order_date,category,product_name,price,quantity,total_sales,customer_region,payment_type
1000,56684,2022-01-01 00:00:00,Utensílios Domésticos,Panela,90.0,1,90.0,Centro-Oeste,Boleto
1001,56408,2022-01-01 01:00:00,Roupas,Tênis,300.0,1,300.0,Norte,Cartão de Débito
1002,52500,2022-01-01 02:00:00,Eletrônicos,Smartphone,1200.0,4,4800.0,Nordeste,Cartão de Crédito
1003,53424,2022-01-01 03:00:00,Eletrônicos,Notebook,3500.0,2,7000.0,Centro-Oeste,Pix
1004,51604,2022-01-01 04:00:00,Eletrônicos,Teclado,150.0,5,750.0,Nordeste,Cartão de Crédito
1005,52668,2022-01-01 05:00:00,Utensílios Domésticos,Liquidificador,180.0,1,180.0,Sudeste,Boleto
1006,57931,2022-01-01 06:00:00,Utensílios Domésticos,Aspirador de Pó,400.0,5,2000.0,Norte,Boleto
1007,57450,2022-01-01 07:00:00,Roupas,Camiseta,50.0,1,50.0,Nordeste,Boleto
1008,54093,2022-01-01 08:00:00,Utensílios Domésticos,Cafeteira,250.0,2,500.0,Nordeste,Pix
1009,57906,2022-01-01 09:00:00,Utensílios Domésticos,Micro-ondas,600.0,1,600.0,Sudeste,Pix
1010,51275,2022-01-01 10:00:00,Roupas,Boné,80.0,1,80.0,Centro-Oeste,Boleto
1011,56007,2022-01-01 11:00:00,Utensílios Domésticos,Micro-ondas,600.0,3,1800.0,Norte,Cartão de Crédito
1012,53657,2022-01-01 12:00:00,Roupas,Tênis,300.0,3,900.0,Nordeste,Cartão de Débito
1013,54362,2022-01-01 13:00:00,Roupas,Calça Jeans,120.0,3,360.0,Centro-Oeste,Boleto
1014,57688,2022-01-01 14:00:00,Utensílios Domésticos,Cafeteira,250.0,3,750.0,Sul,Boleto
1015,54642,2022-01-01 15:00:00,Eletrônicos,Teclado,150.0,4,600.0,Nordeste,Pix
1016,51429,2022-01-01 16:00:00,Eletrônicos,Smartphone,1200.0,2,2400.0,Sudeste,Cartão de Crédito
1017,55707,2022-01-01 17:00:00,Roupas,Tênis,300.0,5,1500.0,Sul,Boleto
1018,57181,2022-01-01 18:00:00,Eletrônicos,Fone de Ouvido,200.0,4,800.0,Norte,Cartão de Débito
1019,57257,2022-01-01 19:00:00,Roupas,Boné,80.0,2,160.0,Nordeste,Pix
1020,58984,2022-01-01 20:00:00,Roupas,Camiseta,50.0,5,250.0,Sudeste,Cartão de Crédito
1021,57208,2022-01-01 21:00:00,Eletrônicos,Monitor,800.0,1,800.0,Sul,Pix
1022,59290,2022-01-01 22:00:00,Eletrônicos,Fone de Ouvido,200.0,2,400.0,Nordeste,Cartão de Crédito
1023,51926,2022-01-01 23:00:00,Eletrônicos,Smartphone,1200.0,4,4800.0,Nordeste,Cartão de Débito
1024,50080,2022-01-02 00:00:00,Roupas,Jaqueta,250.0,5,1250.0,Norte,Cartão de Crédito
1025,58038,2022-01-02 01:00:00,Roupas,Jaqueta,250.0,4,1000.0,Sudeste,Boleto
1026,54664,2022-01-02 02:00:00,Utensílios Domésticos,Cafeteira,250.0,4,1000.0,Norte,Cartão de Débito
1027,50786,2022-01-02 03:00:00,Utensílios Domésticos,Aspirador de Pó,400.0,2,800.0,Norte,Boleto
1028,50211,2022-01-02 04:00:00,Eletrônicos,Fone de Ouvido,200.0,1,200.0,Centro-Oeste,Cartão de Crédito
1029,53525,2022-01-02 05:00:00,Utensílios Domésticos,Panela,90.0,5,450.0,Norte,Cartão de Crédito
1030,51106,2022-01-02 06:00:00,Eletrônicos,Notebook,3500.0,3,10500.0,Centro-Oeste,Cartão de Crédito
1031,59287,2022-01-02 07:00:00,Eletrônicos,Notebook,3500.0,4,14000.0,Norte,Boleto
1032,55367,2022-01-02 08:00:00,Utensílios Domésticos,Micro-ondas,600.0,4,2400.0,Sul,Boleto
1033,53474,2022-01-02 09:00:00,Utensílios Domésticos,Aspirador de Pó,400.0,4,1600.0,Nordeste,Pix
1034,51334,2022-01-02 10:00:00,Roupas,Calça Jeans,120.0,1,120.0,Norte,Pix
1035,59443,2022-01-02 11:00:00,Roupas,Boné,80.0,4,320.0,Centro-Oeste,Cartão de Débito
1036,52986,2022-01-02 12:00:00,Eletrônicos,Fone de Ouvido,200.0,1,200.0,Centro-Oeste,Cartão de Crédito
1037,54302,2022-01-02 13:00:00,Roupas,Camiseta,50.0,3,150.0,Norte,Pix
1038,58527,2022-01-02 14:00:00,Utensílios Domésticos,Cafeteira,250.0,4,1000.0,Centro-Oeste,Cartão de Débito
1039,59046,2022-01-02 15:00:00,Eletrônicos,Smartphone,1200.0,1,1200.0,Centro-Oeste,Boleto
1040,54143,2022-01-02 16:00:00,Eletrônicos,Teclado,150.0,5,750.0,Sudeste,Cartão de Crédito
1041,57039,2022-01-02 17:00:00,Roupas,Camiseta,50.0,1,50.0,Norte,Cartão de Débito
1042,59150,2022-01-02 18:00:00,Roupas,Tênis,300.0,3,900.0,Centro-Oeste,Pix
1043,55421,2022-01-02 19:00:00,Eletrônicos,Monitor,800.0,4,3200.0,Sul,Cartão de Débito
1044,50824,2022-01-02 20:00:00,Roupas,Calça Jeans,120.0,3,360.0,Norte,Cartão de Crédito
1045,58506,2022-01-02 21:00:00,Roupas,Jaqueta,250.0,2,500.0,Norte,Boleto
1046,53539,2022-01-02 22:00:00,Eletrônicos,Teclado,150.0,2,300.0,Nordeste,Boleto
1047,55741,2022-01-02 23:00:00,Roupas,Calça Jeans,120.0,3,360.0,Nordeste,Pix
1048,52038,2022-01-03 00:00:00,Eletrônicos,Notebook,3500.0,5,17500.0,Centro-Oeste,Cartão de Débito
1049,53345,2022-01-03 01:00:00,Eletrônicos,Fone de Ouvido,200.0,3,600.0,Sul,Pix
1050,55253,2022-01-03 02:00:00,Utensílios Domésticos,Cafeteira,250.0,2,500.0,Sul,Boleto
1051,51447,2022-01-03 03:00:00,Utensílios Domésticos,Panela,90.0,2,180.0,Centro-Oeste,Pix
1052,55910,2022-01-03 04:00:00,Utensílios Domésticos,Liquidificador,180.0,5,900.0,Sudeste,Pix
1053,57842,2022-01-03 05:00:00,Eletrônicos,Monitor,800.0,3,2400.0,Centro-Oeste,Boleto
1054,54133,2022-01-03 06:00:00,Roupas,Boné,80.0,5,400.0,Sul,Cartão de Crédito
1055,57516,2022-01-03 07:00:00,Roupas,Jaqueta,250.0,3,750.0,Sudeste,Cartão de Crédito
1056,50959,2022-01-03 08:00:00,Utensílios Domésticos,Aspirador de Pó,400.0,4,1600.0,Norte,Cartão de Crédito
1057,56307,2022-01-03 09:00:00,Utensílios Domésticos,Panela,90.0,4,360.0,Centro-Oeste,Cartão de Débito
1058,51459,2022-01-03 10:00:00,Roupas,Camiseta,50.0,5,250.0,Nordeste,Boleto
1059,56046,2022-01-03 11:00:00,Roupas,Camiseta,50.0,5,250.0,Sul,Boleto
1060,56196,2022-01-03 12:00:00,Roupas,Tênis,300.0,5,1500.0,Nordeste,Cartão de Crédito
1061,57789,2022-01-03 13:00:00,Roupas,Jaqueta,250.0,3,750.0,Sul,Boleto
1062,51755,2022-01-03 14:00:00,Eletrônicos,Fone de Ouvido,200.0,5,1000.0,Sudeste,Cartão de Crédito
1063,50865,2022-01-03 15:00:00,Eletrônicos,Notebook,3500.0,1,3500.0,Sudeste,Cartão de Crédito
1064,50557,2022-01-03 16:00:00,Utensílios Domésticos,Micro-ondas,600.0,1,600.0,Nordeste,Pix
1065,55615,2022-01-03 17:00:00,Roupas,Tênis,300.0,5,1500.0,Nordeste,Pix
1066,51691,2022-01-03 18:00:00,Eletrônicos,Smartphone,1200.0,5,6000.0,Sul,Cartão de Crédito
1067,55907,2022-01-03 19:00:00,Utensílios Domésticos,Cafeteira,250.0,4,1000.0,Nordeste,Pix
1068,52261,2022-01-03 20:00:00,Roupas,Jaqueta,250.0,3,750.0,Norte,Cartão de Crédito
1069,55801,2022-01-03 21:00:00,Eletrônicos,Fone de Ouvido,200.0,4,800.0,Sul,Cartão de Débito
1070,56898,2022-01-03 22:00:00,Eletrônicos,Monitor,800.0,1,800.0,Sul,Pix
1071,57557,2022-01-03 23:00:00,Roupas,Tênis,300.0,4,1200.0,Nordeste,Pix
1072,55521,2022-01-04 00:00:00,Roupas,Tênis,300.0,4,1200.0,Sul,Boleto
1073,59766,2022-01-04 01:00:00,Roupas,Calça Jeans,120.0,4,480.0,Sudeste,Cartão de Crédito
1074,52322,2022-01-04 02:00:00,Eletrônicos,Smartphone,1200.0,4,4800.0,Norte,Cartão de Débito
1075,59237,2022-01-04 03:00:00,Utensílios Domésticos,Panela,90.0,1,90.0,Sul,Cartão de Crédito
1076,55215,2022-01-04 04:00:00,Eletrônicos,Smartphone,1200.0,4,4800.0,Norte,Pix
1077,53318,2022-01-04 05:00:00,Eletrônicos,Teclado,150.0,2,300.0,Nordeste,Pix
1078,56781,2022-01-04 06:00:00,Eletrônicos,Notebook,3500.0,1,3500.0,Sudeste,Cartão de Débito
1079,56697,2022-01-04 07:00:00,Eletrônicos,Fone de Ouvido,200.0,2,400.0,Centro-Oeste,Cartão de Débito
1080,58443,2022-01-04 08:00:00,Utensílios Domésticos,Micro-ondas,600.0,3,1800.0,Norte,Pix
1081,55848,2022-01-04 09:00:00,Utensílios Domésticos,Aspirador de Pó,400.0,1,400.0,Norte,Boleto
1082,56801,2022-01-04 10:00:00,Roupas,Tênis,300.0,4,1200.0,Sul,Cartão de Débito
1083,54663,2022-01-04 11:00:00,Utensílios Domésticos,Micro-ondas,600.0,1,600.0,Centro-Oeste,Cartão de Débito
1084,58137,2022-01-04 12:00:00,Eletrônicos,Monitor,800.0,1,800.0,Norte,Boleto
1085,53683,2022-01-04 13:00:00,Eletrônicos,Monitor,800.0,1,800.0,Sudeste,Boleto
1086,51258,2022-01-04 14:00:00,Utensílios Domésticos,Cafeteira,250.0,3,750.0,Centro-Oeste,Boleto
1087,54613,2022-01-04 15:00:00,Eletrônicos,Smartphone,1200.0,4,4800.0,Nordeste,Cartão de Débito
